zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
02652,14.27,45.7,52237,72.79
02653,4.92,20.35,63132,76.26
02655,9.59,12.43,73323,79.75
02657,13.18,58.44,46031,79.39
02659,8.73,15.06,51466,71.52
02660,6.1,22.57,48617,68.06
02663,20,60,21667,80
02664,8.68,26.28,49698,64.86
02666,9.13,21.83,102031,75.73
02667,5.89,21.66,59233,82.03
02668,4.64,23.64,76781,77.45
02669,0,17.49,100398,93.44
02670,7.64,29.77,45000,70.18
02671,23.16,34.03,44516,70.43
02672,0,0,29769,70.33
02673,5.58,24.37,47060,62.35
02675,5.17,18.18,62796,70.73
02702,4.05,24.02,93042,55.9
02703,9.24,31.33,65767,57.38
02713,0,25.93,38500,57.6
02715,11.36,24.95,90625,57.18
02717,9.15,27.13,81224,53.74
02718,12.17,28.96,76709,53.84
02719,8.32,30.28,59933,51.03
02720,14.39,36.76,42439,47.27
02721,14.64,37.21,31275,36.08
02723,16.95,36.42,28625,35.53
02724,16.35,36.1,28866,33.33
02725,12.8,30.69,67910,48.93
02726,9.23,27.32,72277,59.17
02738,7.52,25.67,85398,72.94
02739,4.58,22.08,81827,69.45
02740,12.77,40.42,35920,39.92
02743,10.73,28.52,65111,46.95
02744,10.96,40.07,31424,32.24
02745,8.14,33.7,50750,41.29
02746,16.94,43.15,24487,26.04
02747,8.34,39.34,72321,50.97
02748,6.18,22.22,68279,57.93
02760,9.19,27.78,79249,70.49
02762,7.53,28.91,83750,67.22
02763,3.89,36.11,120000,79.88
02764,8.45,27.73,81591,58.54
02766,9.92,37.99,80543,65.29
02767,6.85,26.69,77865,59.68
02769,12.13,27.43,82152,66.15
02770,4.75,28.42,99531,64.11
02771,6.26,27.59,75267,60.55
02777,9.29,23.68,72061,54.56
02779,9.36,25.55,89549,51.77
02780,10.71,33.82,51446,46
02790,11.15,22.24,76663,51.59
02791,30.3,0,64583,84.78
02802,3.65,44.44,67813,85.89
02804,5.81,20.25,73125,57.74
02806,6.18,22.99,103211,83.37
02807,7.18,18.16,90789,80.09
02808,6.41,27.17,68056,40.62
02809,7.58,34.81,60934,58.44
02812,9.83,20.76,87222,75.89
02813,6.51,27.62,72786,64.43
02814,6.13,26.56,81228,61.62
02815,6.67,9.44,132411,77.78
02816,12.38,26.03,64411,56.23
02817,10.9,27.34,80764,61.12
02818,4.43,26.51,85682,78.61
02822,5.9,29.29,95990,66.98
02825,10.46,30.72,89276,59.97
02826,0,43.17,29615,39.07
02827,6.12,24.25,85278,58.35
02828,6.41,28.5,77333,64.4
02830,8.8,27.15,71111,51.14
02831,10.65,23.09,82750,59.85
02832,3.71,24.69,66379,61.62
02833,0,0,52995,65.97
02835,2.27,20.63,85337,84.26
02836,0,0,69191,80.23
02837,7.63,22.11,91319,71.77
02838,7.39,34.84,52179,55.9
02839,8.63,31.43,72321,54.81
02840,5.26,40.95,57953,71.72
02841,0,74.87,"",96.54
02842,7.24,25.59,70614,69.34
02852,7.15,28.57,76937,73.53
02857,7.88,23.72,76955,64.76
02858,4.51,12.95,82500,57.28
02859,13.14,29.32,64935,55.23
02860,11.97,41.9,32169,41.59
02861,10.6,29.91,55389,49.35
02863,10.66,43.81,29268,25.78
02864,5.88,25.57,73397,64.04
02865,6.5,28.28,81892,65.8
02871,6.56,25.42,73806,72.07
02872,"",0,"",50.48
02873,0,61.05,63750,33.14
02874,4.9,26.9,108214,82.1
02875,0,16.32,80217,42.81
02876,0,28.47,57105,58.12
02878,8.85,21.88,68706,59.07
02879,7.13,26.38,74970,74.5
02881,8.6,76.51,79861,89.7
02882,4.45,41.48,64668,77.32
02885,11.46,30.42,54609,55.5
02886,8.64,27.49,58717,60.42
02888,10.45,32.41,58083,57.59
02889,8.46,28.86,63552,53.58
02891,9.64,25.68,59205,60.16
02892,7.71,26.18,75568,60.98
02893,9.35,34.77,51809,53.78
02894,14.94,12.23,84583,69.19
02895,8.85,36.42,38356,42.78
02896,5.19,22.18,77088,57.5
02898,8.21,25.41,82188,47.43
02903,10.98,66.2,24387,56.96
02904,11.39,36.52,40366,52.02
02905,17.72,46.56,42763,51.48
02906,7.24,54.55,66020,87.34
02907,20,50.08,31068,39.67
02908,12.89,53.17,41855,51.67
02909,16.99,50.26,33109,32.41
02910,10.38,34.89,56086,55.21
02911,7.7,36.22,51010,59.86
02912,12.73,98.63,"",100
02914,11.11,33.72,43267,40.33
02915,8.24,27.63,50000,56.35
02916,6.92,28.49,65054,61.81
02917,10,43.51,68955,66.95
02919,8.15,29.74,56963,49.34
02920,11.7,33.07,50669,50.69
02921,7.3,26.76,95556,64.08
03031,5.29,24.52,113260,82.83
03032,4.58,21.13,94275,63.12
03033,4.38,23.13,102785,71.53
03034,6.7,22.5,94853,58.88
03036,6.32,22.34,108204,71.12
03037,4.6,18.91,90449,65.87
03038,7.28,28.99,67500,58.71
03042,2.97,18.85,76885,61.19
03043,4.59,19.9,83036,75.23
03044,6.3,21.68,83879,59.67
